section,indice,categorie,phase,journée,date/heure,date_confirmee,domicile,extérieur,score,gymnase,ville,lien,adresse_complete
Entente Lyon Est Handball (F),B,Seniors,P1,4,10 octobre 2026 au 11 octobre 2026,False,P16F PNF - ENTENTE LYON EST HANDBALL,SAINT GENIX - AOSTE HB,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/prenationale-feminine-aura-30495/poule-190154/rencontre-2651240/,
Entente Lyon Est Handball (F),B,Seniors,P1,5,7 novembre 2026 au 8 novembre 2026,False,BELLEY HBC,P16F PNF - ENTENTE LYON EST HANDBALL,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/prenationale-feminine-aura-30495/poule-190154/rencontre-2651243/,
Entente Lyon Est Handball (F),B,Seniors,P1,6,14 novembre 2026 au 15 novembre 2026,False,CS MORESTEL HANDBALL,P16F PNF - ENTENTE LYON EST HANDBALL,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/prenationale-feminine-aura-30495/poule-190154/rencontre-2651248/,
Entente Lyon Est Handball (F),B,Seniors,P1,7,28 novembre 2026 au 29 novembre 2026,False,P16F PNF - ENTENTE LYON EST HANDBALL,P16F PNF - ENTENTE BRON VILLEURBANNE,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/prenationale-feminine-aura-30495/poule-190154/rencontre-2651253/,
Entente Lyon Est Handball (F),B,Seniors,P1,8,5 décembre 2026 au 7 mars 2027,False,P16F PNF - ENTENTE LYON EST HANDBALL,P16F PNF - PORTE DE L'ISERE,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/prenationale-feminine-aura-30495/poule-190154/rencontre-2651258/,
Entente Lyon Est Handball (F),B,Seniors,P1,9,12 décembre 2026 au 13 décembre 2026,False,HANDBALL CLUB BOURGETAIN,P16F PNF - ENTENTE LYON EST HANDBALL,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/prenationale-feminine-aura-30495/poule-190154/rencontre-2651262/,
Entente Lyon Est Handball (F),B,Seniors,P1,10,9 janvier 2027 au 10 janvier 2027,False,P16F PNF - ENTENTE LYON EST HANDBALL,P16F PNF - ENTENTE MEXIMIEUX MONTLUEL,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/prenationale-feminine-aura-30495/poule-190154/rencontre-2651265/,
Entente Lyon Est Handball (F),B,Seniors,P1,11,16 janvier 2027 au 17 janvier 2027,False,SAINT GENIX - AOSTE HB,P16F PNF - ENTENTE LYON EST HANDBALL,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/prenationale-feminine-aura-30495/poule-190154/rencontre-2651268/,
Entente Lyon Est Handball (F),B,Seniors,P1,12,23 janvier 2027 au 24 janvier 2027,False,P16F PNF - ENTENTE LYON EST HANDBALL,BELLEY HBC,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/prenationale-feminine-aura-30495/poule-190154/rencontre-2651271/,
Entente Lyon Est Handball (F),B,Seniors,P1,13,30 janvier 2027 au 31 janvier 2027,False,P16F PNF - ENTENTE LYON EST HANDBALL,CS MORESTEL HANDBALL,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/prenationale-feminine-aura-30495/poule-190154/rencontre-2651276/,
Entente Lyon Est Handball (F),B,Seniors,P1,14,6 février 2027 au 7 février 2027,False,P16F PNF - ENTENTE BRON VILLEURBANNE,P16F PNF - ENTENTE LYON EST HANDBALL,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/prenationale-feminine-aura-30495/poule-190154/rencontre-2651281/,
Entente Est Lyonnais (G),Rés.,M15,P1,1,12 septembre 2026 au 13 septembre 2026,False,M15M EXC - ENTENTE NORD ISERE (RESERVE),M15M EXC - ENTENTE EST LYONNAIS - RESERVE,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m15-ans-masculin-reserves-aura-30505/poule-190254/rencontre-2652951/,
Entente Est Lyonnais (G),Rés.,M15,P1,2,19 septembre 2026 au 20 septembre 2026,False,M15M EXC - ENTENTE EST LYONNAIS - RESERVE,ST GENIS LAVAL AL HANDBALL -15 reserve,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m15-ans-masculin-reserves-aura-30505/poule-190254/rencontre-2652954/,
